PostDist,Structurred_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
GU15,GU15,GU,932,19.465269441778,7.5155825480808,488119.9995,160672.9995,-0.7348345,51.33780625,"POLYGON ((-0.770382088397442 51.3575414962577,-0.754521882147515 51.3575414962577,-0.754521882147515 51.3619688829705,-0.768355425526281 51.3615983362682,-0.771374290853018 51.3615041732794,-0.773676592961127 51.3591992832604,-0.773001595414818 51.3581221895434,-0.770402074061928 51.3575823531377,-0.770382088397442 51.3575414962577))"
GU47,GU47,GU,420,8.3898034376335,3.23932121701709,484071.834333333,161563.998333333,-0.792730666666667,51.3464293333333,"MULTIPOLYGON (((-0.811881675651667 51.3575414962577,-0.820775305983213 51.3579382899668,-0.824367184211037 51.3618139864958,-0.836536884981116 51.3575414962577,-0.811881675651667 51.3575414962577)),((-0.796754405177031 51.3575414962577,-0.770382088397442 51.3575414962577,-0.770402074061928 51.3575823531377,-0.773001595414818 51.3581221895434,-0.773676592961127 51.3591992832604,-0.771374290853018 51.3615041732794,-0.790569220664559 51.3596625983044,-0.794608162735398 51.3579058632052,-0.796754405177031 51.3575414962577)))"
OX10,OX10,OX,962,122.607666281738,47.3390846052301,460638.0878,190493.8996,-1.1242158,51.6095338,"POLYGON ((-1.16376260480376 51.5341235269498,-1.16288599237142 51.533900746542,-1.15229006526185 51.5385183340942,-1.1444885024335 51.539342837127,-1.14291252517515 51.5432549370844,-1.16376260480376 51.5432549370844,-1.16376260480376 51.5341235269498))"
RG1,RG 1,RG,1204,7.08833742814569,2.73682238148423,471794.312375,173240.936625,-0.966638125,51.45310375,"POLYGON ((-0.937438178074132 51.4467077422069,-0.93924142909876 51.4489989868512,-0.941770083526038 51.4485542985834,-0.944299545047495 51.4518141451702,-0.948219290067083 51.4528384610947,-0.941504459321868 51.451950760065,-0.941118905855264 51.4549326271714,-0.938017477539784 51.4552372748429,-0.940358256619957 51.4573266228264,-0.941740093855772 51.4573211157765,-0.943365188772478 51.4598714652897,-0.942376876607824 51.4602851479689,-0.949649915068886 51.4594872615044,-0.955433922741908 51.4614811494693,-0.957219900209647 51.4620635465524,-0.960820467673171 51.4626170572959,-0.967896666717619 51.4609710342508,-0.970674158891757 51.4622813572853,-0.970892976301088 51.4634341792896,-0.977296068741048 51.4654864268467,-0.979764248099303 51.4658406193717,-0.979011335057384 51.4647460021544,-0.987123164736487 51.4637733160586,-0.988630001470927 51.4626802786002,-0.988941675294987 51.4603001838352,-0.986967865358153 51.460382026642,-0.991158373645779 51.4544205987478,-0.991885434801933 51.4521249745039,-0.993878533331954 51.4478709262645,-0.996489143079008 51.4416888877738,-0.995841439310024 51.4384193338654,-0.992627415142416 51.438679516966,-0.988153051974226 51.4419319729955,-0.981877510270329 51.4426779788054,-0.975500460262425 51.4460213759194,-0.975407926787458 51.4475851607628,-0.973987034054545 51.4474198226978,-0.973536816489004 51.4482431703626,-0.972030954524328 51.448014148848,-0.972062840722032 51.4465937586475,-0.970508615994452 51.4459596863305,-0.966368603693421 51.446408785932,-0.965792226525997 51.4458102229755,-0.965285156989498 51.4465970797218,-0.964946667334433 51.4443821011808,-0.960531419980801 51.444918537593,-0.954683348322653 51.4426635449857,-0.950363696182646 51.4453044971904,-0.947245485451354 51.4447229069722,-0.94419690034478 51.4467736323229,-0.939415033221873 51.445232956799,-0.937438178074132 51.4467077422069))"
RG10,RG10,RG,668,62.768419358316,24.2350222025434,479504.006,177043.832333333,-0.854839,51.4862626666667,"POLYGON ((-0.768296921331155 51.4697451968828,-0.778305237535984 51.4723586327726,-0.788910031752556 51.4785920866254,-0.794620179509077 51.4870404065975,-0.803541892401496 51.4950536034751,-0.807870619648161 51.5008524620785,-0.80826160317527 51.5040935702354,-0.810571495860777 51.5072371155352,-0.81014550693898 51.5114230762053,-0.808113775322044 51.5158354407011,-0.81077466183485 51.518254305238,-0.817106697749756 51.5208450255582,-0.82448674322935 51.5264311528799,-0.840030411159565 51.541584217574,-0.839448637388857 51.5355449739269,-0.842197465481604 51.5334680129931,-0.843205501134727 51.5352224125457,-0.842115845688163 51.5372527642611,-0.847971188703662 51.5377689282315,-0.854967773136274 51.5370551604021,-0.867572646241118 51.5375101575118,-0.868159556025666 51.5336134222978,-0.873945340768473 51.5287595215605,-0.878347414302687 51.5226783035546,-0.878575920321864 51.5180676582517,-0.88021244118902 51.5171571210514,-0.880768735064892 51.5138623846055,-0.880040310952092 51.5112478307893,-0.874611198959957 51.5093435553189,-0.870469470404479 51.5066781738402,-0.87100631385175 51.5053615578884,-0.86995888476917 51.504020608713,-0.871072057352402 51.5027005588616,-0.88360779283846 51.5008872768145,-0.890771739258428 51.4983656051934,-0.89329062365788 51.496671898099,-0.89704945359558 51.4973097589106,-0.899708957908001 51.4987375031385,-0.907151983469725 51.4953362334479,-0.915517470679587 51.4942898477455,-0.919352508617121 51.4917086407376,-0.919734770715798 51.4895541122251,-0.926296259677585 51.4849206033079,-0.925002125089165 51.4842253893131,-0.923039236132013 51.4795136330919,-0.913785574775713 51.4756337547588,-0.911833245238758 51.4765957632346,-0.900985958617693 51.4737880440454,-0.897898721808763 51.4746313069061,-0.891317828612293 51.4746591808209,-0.887242351705491 51.4717252296792,-0.884224851138866 51.472065213188,-0.882620904552395 51.4711237709869,-0.880308117420755 51.4697349841298,-0.886831532103032 51.4667128410209,-0.882369016650653 51.4661128874221,-0.880101474995201 51.4628811680002,-0.875859448688264 51.4621122685396,-0.875084258800202 51.4596859856342,-0.876687198066687 51.4530203844891,-0.874114305549642 51.452303351916,-0.871439483514227 51.4498857537216,-0.871256739208307 51.4456217840008,-0.875822799681675 51.4395781322461,-0.874312781118803 51.438376691897,-0.854750646079194 51.4312814390268,-0.850761628008914 51.4337511678178,-0.832410258504936 51.4403228824714,-0.821104536095515 51.446342243083,-0.805711149806685 51.4522651162944,-0.796647190553264 51.4570820118885,-0.781798374354887 51.4633759986852,-0.77292037057266 51.4691371657522,-0.768296921331155 51.4697451968828))"
RG12,RG12,RG,1176,26.4397355273434,10.2084389583988,487274.167333333,168005.332166667,-0.745174,51.4038573333333,"POLYGON ((-0.754521882147515 51.3619688829705,-0.754521882147515 51.4191320050457,-0.756780011673017 51.4193583032875,-0.755656267584199 51.4173141313914,-0.761886026016953 51.4182703117855,-0.763285565226156 51.4170351885863,-0.763597359018964 51.4177398394221,-0.766430100370233 51.4177516962078,-0.773831885822827 51.4200683549876,-0.775731802374648 51.4173186437014,-0.778164649941266 51.4183061726638,-0.780556259317288 51.4176027454016,-0.780811087203485 51.4166702145935,-0.784202500708635 51.4162199185259,-0.783658700077903 51.4188309336122,-0.78539264472989 51.4196042054127,-0.787553691725609 51.4183766728621,-0.790575603551743 51.4150359454348,-0.79070043133621 51.4135714951391,-0.790274942210944 51.411714736098,-0.786494996753206 51.4078450752306,-0.786998537335521 51.404028682553,-0.783313180308479 51.3982534908878,-0.774289844729234 51.3868024939756,-0.771835899466358 51.387208479947,-0.773886025382837 51.382554047293,-0.772885921633462 51.3801876056102,-0.765511792826254 51.3717385710108,-0.76587147598527 51.3674440984114,-0.768540879205683 51.3632549091523,-0.768355425526281 51.3615983362682,-0.754521882147515 51.3619688829705))"
RG2,RG 2,RG,1149,26.7852102752062,10.3418275042704,472470.9982,169658.2998,-0.9576376,51.4208044,"POLYGON ((-0.882705892314629 51.4015809569202,-0.882868121937466 51.4049545256935,-0.894833371283617 51.4095728800402,-0.896315664897008 51.4113132572459,-0.895154665866865 51.4147372615394,-0.901599008768262 51.4140515180734,-0.906612746942788 51.4166610730348,-0.90860524519309 51.4169314305579,-0.909610151474941 51.4194225675674,-0.907652207577648 51.4207171483722,-0.915622460614565 51.4199909051694,-0.926092402255169 51.4205997577666,-0.932693059573356 51.4200036278378,-0.938709450186655 51.4185475792738,-0.949517039630595 51.4144636914338,-0.948611459544261 51.4169553296771,-0.946928595518554 51.417596628136,-0.947541330967892 51.4184653816794,-0.945688460886984 51.4221173759456,-0.943519540493396 51.4238692969136,-0.940309583032251 51.4246045980723,-0.939779037291177 51.4251573188776,-0.941818431345115 51.4265335841038,-0.942077283280862 51.4290266887896,-0.944837102469876 51.4291144817363,-0.945295091514087 51.4298379278907,-0.944084534345038 51.4299349088011,-0.943920188985901 51.4308236366103,-0.945311761853914 51.4309890689113,-0.944020075967607 51.4314809364002,-0.943328065390572 51.4359166936745,-0.944786305759371 51.4367445090565,-0.954683348322653 51.4426635449857,-0.960531419980801 51.444918537593,-0.964946667334433 51.4443821011808,-0.965285156989498 51.4465970797218,-0.965792226525997 51.4458102229755,-0.966368603693421 51.446408785932,-0.970508615994452 51.4459596863305,-0.972062840722032 51.4465937586475,-0.972030954524328 51.448014148848,-0.973536816489004 51.4482431703626,-0.973987034054545 51.4474198226978,-0.975407926787458 51.4475851607628,-0.975500460262425 51.4460213759194,-0.981877510270329 51.4426779788054,-0.977112804363649 51.4408381148074,-0.97798299977964 51.4347222797083,-0.98293928274355 51.4337402257679,-0.985475480894899 51.4341938686836,-0.988275721966565 51.4272583561941,-0.995307874895349 51.4247021288077,-0.996178127685679 51.4223986946813,-0.997102324486652 51.4222267295468,-0.995696107413965 51.4194542550399,-0.985968343030179 51.4171224722795,-0.97213697233858 51.4125150951636,-0.966113666421016 51.4118057326201,-0.959046235166839 51.4121298303175,-0.955546511615571 51.4130068984539,-0.959093993485516 51.4100262063338,-0.962791514629429 51.4086561818484,-0.961973379103005 51.404782437181,-0.958583163140967 51.4027650977646,-0.958847707083246 51.3961763520906,-0.961978568784861 51.3962940997411,-0.96104982872515 51.3941457701931,-0.959803365793796 51.39333438748,-0.957677444338816 51.3939089814774,-0.955148943873997 51.3913327735252,-0.947744912784133 51.388919676519,-0.943191478021915 51.3863160182313,-0.936197294625736 51.3842654596936,-0.928245848414351 51.3856947037465,-0.923171021135442 51.3882288738465,-0.922299556283709 51.3843363620131,-0.919822187103927 51.3851857990048,-0.908162539290779 51.3835850792146,-0.907854504972834 51.3808306294724,-0.904751282565906 51.3771959215221,-0.9042444454665 51.3725422936502,-0.901825755908527 51.3763592293253,-0.898888027946244 51.3784358253793,-0.886276725196995 51.3835859183294,-0.888438332067414 51.385117114071,-0.895448542631901 51.3864242818375,-0.897736175173238 51.3875069362075,-0.897700543972694 51.3889902093438,-0.899177987085884 51.390308014593,-0.896364999892422 51.3931320170358,-0.894571090556104 51.3930161384939,-0.889875048343257 51.39463534107,-0.89681087684861 51.3955100552291,-0.894163983596048 51.3985783686205,-0.886421996935423 51.399512163823,-0.882705892314629 51.4015809569202))"
RG26,RG26,RG,614,91.1605487646653,35.197284651951,459682.501,160088.834,-1.14315633333333,51.3362516666667,"MULTIPOLYGON (((-1.11129639434684 51.3575414962577,-1.11593291462025 51.36300937229,-1.12609625535533 51.3610623692574,-1.13027596480115 51.3595378512395,-1.13121008416422 51.3579891794573,-1.13767082312178 51.3575414962577,-1.11129639434684 51.3575414962577)),((-1.16376260480376 51.3595857102088,-1.16376260480376 51.3575414962577,-1.14442908623652 51.3575414962577,-1.14638484817967 51.3590718901762,-1.14414377498786 51.3598737554087,-1.14493100480594 51.3615609500603,-1.14737253154761 51.3607964868107,-1.14875425359577 51.3621912458786,-1.15002869323828 51.3616250857655,-1.15101137469856 51.3628550332812,-1.15810804588968 51.3612247668847,-1.1601011942665 51.3621922067898,-1.16277993847456 51.3594328606324,-1.16376260480376 51.3595857102088)))"
RG27,RG27,RG,776,121.83010541749,47.0388666771461,473706.914666667,156416.500333333,-0.9426,51.3015846666667,"MULTIPOLYGON (((-0.986937915957497 51.3575414962577,-0.971320128471929 51.3575414962577,-0.970809565985225 51.3588843790806,-0.975166989643437 51.3599207487872,-0.983926557565929 51.3599970223644,-0.987884667652003 51.360921407132,-0.986731052283636 51.3598234532558,-0.986831224679714 51.3578910508697,-0.986937915957497 51.3575414962577)),((-0.888958162742613 51.3575414962577,-0.889471743447262 51.3578450687747,-0.892474313353265 51.3578105582422,-0.900247912414815 51.3606533357293,-0.904242118704875 51.3612033330862,-0.906743239567527 51.36353760922,-0.912405655040959 51.3640128940095,-0.913758368253445 51.363908579524,-0.913764759072777 51.3630274021073,-0.918348971533907 51.3629349583938,-0.917778937365426 51.3645752181901,-0.924066403948482 51.365972894528,-0.930185886895425 51.3647340747456,-0.937049482881557 51.364841479273,-0.939662282133002 51.3624193931766,-0.939464002272792 51.360430301037,-0.940968988520694 51.3575414962577,-0.888958162742613 51.3575414962577)))"
RG30,RG30,RG,976,25.0256441611397,9.66245522953136,468500.0996,172945.3008,-1.0141014,51.4508538,"POLYGON ((-0.977112804363649 51.4408381148074,-0.981877510270329 51.4426779788054,-0.988153051974226 51.4419319729955,-0.992627415142416 51.438679516966,-0.995841439310024 51.4384193338654,-0.996489143079008 51.4416888877738,-0.993878533331954 51.4478709262645,-0.991885434801933 51.4521249745039,-0.991158373645779 51.4544205987478,-0.986967865358153 51.460382026642,-0.988941675294987 51.4603001838352,-0.988630001470927 51.4626802786002,-0.987123164736487 51.4637733160586,-0.979011335057384 51.4647460021544,-0.979764248099303 51.4658406193717,-0.991084600934237 51.4669096473125,-1.00140494085834 51.4696325297981,-1.00725259818971 51.4688548844202,-1.0134294538671 51.466820962798,-1.01788672654662 51.4670831811152,-1.0266162971766 51.4715619293096,-1.03142093388524 51.4669978739704,-1.03074888296201 51.4647443812444,-1.03364041905098 51.4627899798024,-1.03346075916783 51.4617544688567,-1.03486682029905 51.4619728944419,-1.03626918588865 51.4610043275745,-1.0366488183238 51.4607466658746,-1.0360349250158 51.4605078172374,-1.03946507004855 51.457905431913,-1.04024215079804 51.4582494355803,-1.04235639724909 51.4562614809697,-1.04487632341868 51.4555177701099,-1.04535812407443 51.4538042929647,-1.0464076592611 51.4504049248401,-1.04227950897855 51.4482402080657,-1.03569706393495 51.4492113113819,-1.02631211328561 51.4445839485889,-1.02584530037216 51.4435279640444,-1.02402973849906 51.4436478003517,-1.02491550350278 51.4419196984444,-1.02457138771837 51.4364588227439,-1.03045643236916 51.4357342827828,-1.04129981955302 51.4386738357216,-1.04739885878463 51.4366554693066,-1.04878924153435 51.4355157734586,-1.05477089995136 51.4342693252889,-1.03950136302253 51.4263223331751,-1.04111570986862 51.4247889373696,-1.04482905531495 51.4232816283182,-1.06119580088668 51.4226045962549,-1.06266161908356 51.4219599270359,-1.06290522366373 51.4212964862851,-1.06198404690115 51.4213340620062,-1.06298471402884 51.4202270373778,-1.0603986590956 51.4186956935614,-1.06190960450328 51.4179435199855,-1.06220205348472 51.415599029688,-1.0655695925927 51.4154730091542,-1.06662650692605 51.4144114324435,-1.06362302119545 51.4129127923786,-1.06141534223921 51.4097749540959,-1.06312275811558 51.4092490710648,-1.06418190498622 51.4052562194398,-1.06241163994467 51.4039471648557,-1.06047168047562 51.402501970867,-1.05747736498124 51.4047978145103,-1.05387801355784 51.4043552236214,-1.05133758384064 51.4048472590304,-1.04743534176359 51.4072163968944,-1.04550096013472 51.4055192184854,-1.04062180890156 51.4037169477748,-1.03583139682238 51.4052332461528,-1.02970991579839 51.4030516464518,-1.02737406169039 51.4047318132122,-1.02373663789855 51.4054119129592,-1.01988003003082 51.4076007334303,-1.01490989884781 51.4073882769826,-1.01235043949774 51.4094078595463,-1.01181125939005 51.4110757819124,-1.01662982783607 51.4176983576191,-1.01099802199273 51.4167788474183,-1.00741987971742 51.4179895003312,-1.00061813463788 51.4173112728703,-0.995333689858413 51.417616785921,-0.995696107413965 51.4194542550399,-0.997102324486652 51.4222267295468,-0.996178127685679 51.4223986946813,-0.995307874895349 51.4247021288077,-0.988275721966565 51.4272583561941,-0.985475480894899 51.4341938686836,-0.98293928274355 51.4337402257679,-0.97798299977964 51.4347222797083,-0.977112804363649 51.4408381148074))"
