PostSect,Structured_PostSect,PostDist,Structurred_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
GU15 4,GU15 4,GU15,GU15,GU,139,9.1843924387017,3.5461137454837,487553.5,161816.5,-0.742684,51.348175,"POLYGON ((-0.770382088397442 51.3575414962577,-0.770402074061928 51.3575823531377,-0.773001595414818 51.3581221895434,-0.773676592961127 51.3591992832604,-0.771374290853018 51.3615041732794,-0.768355425526281 51.3615983362682,-0.754521882147515 51.3619688829705,-0.754521882147515 51.3575414962577,-0.770382088397442 51.3575414962577))"
GU47 0,GU47 0,GU47,GU47,GU,198,2.2571517748955,0.87149117244508,485130,161481.496,-0.777558,51.345531,"POLYGON ((-0.770382088397442 51.3575414962577,-0.785402731110586 51.3575414962577,-0.78420252775072 51.3581849962995,-0.773676592961127 51.3591992832604,-0.773001595414818 51.3581221895434,-0.770402074061928 51.3575823531377,-0.770382088397442 51.3575414962577))"
GU47 8,GU47 8,GU47,GU47,GU,117,4.4488726772109,1.7177193437516,482669.002,162057.5,-0.812755,51.351073,"MULTIPOLYGON (((-0.811881675651667 51.3575414962577,-0.836536884981116 51.3575414962577,-0.824367184211037 51.3618139864958,-0.820775305983213 51.3579382899668,-0.811881675651667 51.3575414962577)),((-0.785402731110586 51.3575414962577,-0.796754405177031 51.3575414962577,-0.794608162735398 51.3579058632052,-0.790569220664559 51.3596625983044,-0.771374290853018 51.3615041732794,-0.773676592961127 51.3591992832604,-0.78420252775072 51.3581849962995,-0.785402731110586 51.3575414962577)))"
OX10 9,OX10 9,OX10,OX10,OX,249,21.386269816199,8.2572849392056,458505.502,185730.999,-1.155811,51.566939,"POLYGON ((-1.16376260480376 51.5341235269498,-1.16376260480376 51.5432549370844,-1.14291252517515 51.5432549370844,-1.1444885024335 51.539342837127,-1.15229006526185 51.5385183340942,-1.16288599237142 51.533900746542,-1.16376260480376 51.5341235269498))"
RG1 1,RG 1 1,RG1,RG 1,RG,76,0.29151718591307,0.11255541473326,471434.001,173751.003,-0.97172,51.457736,"POLYGON ((-0.976314704438751 51.459804024359,-0.974629341616812 51.460537019128,-0.97186095144449 51.4600707000809,-0.971241765780461 51.46072175633,-0.968632253158623 51.4596287547647,-0.968534777901825 51.4588456516408,-0.968880762986742 51.4562679605566,-0.975583757583863 51.4558052353097,-0.978150943137313 51.4562142619015,-0.976314704438751 51.459804024359))"
RG1 2,RG 1 2,RG1,RG 1,RG,120,0.4953942991106,0.19127280821623,471643.5,172954.996,-0.968866,51.450553,"POLYGON ((-0.975583757583863 51.4558052353097,-0.968880762986742 51.4562679605566,-0.968995768911274 51.4549921372712,-0.968370933632356 51.453341150958,-0.969162795596308 51.4526917170553,-0.966533118771447 51.450600409672,-0.965285156989498 51.4465970797218,-0.965792226525997 51.4458102229755,-0.966368603693421 51.446408785932,-0.970508615994452 51.4459596863305,-0.972062840722032 51.4465937586475,-0.972030954524328 51.448014148848,-0.973536816489004 51.4482431703626,-0.974414854699323 51.4495187045579,-0.972026295787586 51.4520694462304,-0.974203532157698 51.453167496555,-0.975583757583863 51.4558052353097))"
RG1 3,RG 1 3,RG1,RG 1,RG,231,1.0764748836518,0.41562927619469,472809.999,173544.997,-0.951959,51.455708,"POLYGON ((-0.968995768911274 51.4549921372712,-0.968880762986742 51.4562679605566,-0.968534777901825 51.4588456516408,-0.955191627288265 51.4582239661463,-0.952281064744976 51.4571010395197,-0.94999412364385 51.4582854251312,-0.949649915068886 51.4594872615044,-0.942376876607824 51.4602851479689,-0.943365188772478 51.4598714652897,-0.941740093855772 51.4573211157765,-0.940358256619957 51.4573266228264,-0.938017477539784 51.4552372748429,-0.941118905855264 51.4549326271714,-0.941504459321868 51.451950760065,-0.948219290067083 51.4528384610947,-0.949799250776122 51.4529785600147,-0.949815392941459 51.4535271367009,-0.955227236294321 51.4547714084406,-0.964626637570543 51.4540815092513,-0.967775546619581 51.4542171323228,-0.968995768911274 51.4549921372712))"
RG1 4,RG 1 4,RG1,RG 1,RG,117,0.32049765092336,0.12374483482929,472392.502,173149.995,-0.958048,51.45221,"POLYGON ((-0.968995768911274 51.4549921372712,-0.967775546619581 51.4542171323228,-0.964626637570543 51.4540815092513,-0.955227236294321 51.4547714084406,-0.949815392941459 51.4535271367009,-0.949799250776122 51.4529785600147,-0.962111466219642 51.4513886496674,-0.963405456200554 51.4514450354179,-0.963733308593793 51.4522212869663,-0.966348158538106 51.4517767406153,-0.966533118771447 51.450600409672,-0.969162795596308 51.4526917170553,-0.968370933632356 51.453341150958,-0.968995768911274 51.4549921372712))"
RG1 5,RG 1 5,RG1,RG 1,RG,176,1.4510578244157,0.56025655817679,472923.5,172618.502,-0.950517,51.447364,"POLYGON ((-0.966533118771447 51.450600409672,-0.966348158538106 51.4517767406153,-0.963733308593793 51.4522212869663,-0.963405456200554 51.4514450354179,-0.962111466219642 51.4513886496674,-0.949799250776122 51.4529785600147,-0.948219290067083 51.4528384610947,-0.944299545047495 51.4518141451702,-0.941770083526038 51.4485542985834,-0.93924142909876 51.4489989868512,-0.937438178074132 51.4467077422069,-0.939415033221873 51.445232956799,-0.94419690034478 51.4467736323229,-0.947245485451354 51.4447229069722,-0.950363696182646 51.4453044971904,-0.954683348322653 51.4426635449857,-0.960531419980801 51.444918537593,-0.964946667334433 51.4443821011808,-0.965285156989498 51.4465970797218,-0.966533118771447 51.450600409672))"
RG1 6,RG 1 6,RG1,RG 1,RG,174,1.512923080902,0.58414286724494,470683.997,172354.498,-0.982794,51.445274,"POLYGON ((-0.993878533331954 51.4478709262645,-0.991885434801933 51.4521249745039,-0.986585754771824 51.4522860495755,-0.981160215874943 51.450341761187,-0.974203532157698 51.453167496555,-0.972026295787586 51.4520694462304,-0.974414854699323 51.4495187045579,-0.973536816489004 51.4482431703626,-0.973987034054545 51.4474198226978,-0.975407926787458 51.4475851607628,-0.975500460262425 51.4460213759194,-0.981877510270329 51.4426779788054,-0.988153051974226 51.4419319729955,-0.992627415142416 51.438679516966,-0.995841439310024 51.4384193338654,-0.996489143079008 51.4416888877738,-0.993878533331954 51.4478709262645))"
