PostSect,Structured_PostSect,PostDist,Structurred_Dist,PostArea,Postcode_Count,AREA_KM,AREA_MI,X_Coord,Y_Coord,Longitude,Latitude,Geometry
RG1 1,RG 1 1,RG1,RG 1,RG,76,0.29151718591307,0.11255541473326,471434.001,173751.003,-0.97172,51.457736,POINT (-0.973240493094408 51.4582485203051)
RG1 2,RG 1 2,RG1,RG 1,RG,120,0.4953942991106,0.19127280821623,471643.5,172954.996,-0.968866,51.450553,POINT (-0.970386622353918 51.4510659222275)
RG1 3,RG 1 3,RG1,RG 1,RG,231,1.0764748836518,0.41562927619469,472809.999,173544.997,-0.951959,51.455708,POINT (-0.953481370660913 51.4562214986707)
RG1 4,RG 1 4,RG1,RG 1,RG,117,0.32049765092336,0.12374483482929,472392.502,173149.995,-0.958048,51.45221,POINT (-0.959569857460349 51.4527238651202)
RG1 5,RG 1 5,RG1,RG 1,RG,176,1.4510578244157,0.56025655817679,472923.5,172618.502,-0.950517,51.447364,POINT (-0.952038768887396 51.4478776943343)
RG1 6,RG 1 6,RG1,RG 1,RG,174,1.512923080902,0.58414286724494,470683.997,172354.498,-0.982794,51.445274,POINT (-0.984312161073782 51.4457877592129)
RG1 7,RG 1 7,RG1,RG 1,RG,212,0.90828855302446,0.35069217090214,470761.501,173436.998,-0.981462,51.454997,POINT (-0.98298097858351 51.4555099035333)
RG1 8,RG 1 8,RG1,RG 1,RG,98,1.0321839502047,0.39852845118689,471705.499,174116.504,-0.967739,51.460988,POINT (-0.96925945743484 51.4615001306262)
RG10 0,RG10 0,RG10,RG10,RG,238,31.538273623278,12.17699552265,481537,174768.497,-0.826085,51.465519,POINT (-0.827622621299142 51.4660325169371)
RG10 8,RG10 8,RG10,RG10,RG,139,14.973183885492,5.7811786184415,479632.498,179970.498,-0.852325,51.51256,POINT (-0.853861503933512 51.5130676344651)
RG10 9,RG10 9,RG10,RG10,RG,291,16.256961849546,6.2768480614519,477342.52,176392.502,-0.886107,51.480709,POINT (-0.88763749483253 51.4812199213319)
RG12 1,RG12 1,RG12,RG12,RG,235,1.4569411845808,0.56252813623604,486013.001,169234.501,-0.763004,51.415102,POINT (-0.764546018855927 51.4156232379895)
RG12 8,RG12 8,RG12,RG12,RG,188,3.6689477200577,1.4165886342937,485236.501,167835.497,-0.774505,51.402642,POINT (-0.776045010438936 51.4031639344163)
RG2 0,RG 2 0,RG2,RG 2,RG,472,3.0900349314228,1.1930691569939,471275.997,170776.5,-0.974594,51.431012,POINT (-0.976112337518245 51.4315272940741)
RG2 6,RG 2 6,RG2,RG 2,RG,23,1.3192404416126,0.50936158214312,470706.498,169478.001,-0.983044,51.419408,POINT (-0.984561767780198 51.4199248085512)
RG2 7,RG 2 7,RG2,RG 2,RG,230,2.4080009888961,0.92973437958512,472660.5,171306.498,-0.95457,51.435601,POINT (-0.956091522153466 51.4361164533766)
RG2 8,RG 2 8,RG2,RG 2,RG,232,2.4360409994167,0.9405606881727,472682.996,169576.998,-0.954602,51.420048,POINT (-0.956122219423207 51.4205652299953)
RG2 9,RG 2 9,RG2,RG 2,RG,192,17.531892913858,6.7691016973756,475029,167153.502,-0.921378,51.397953,POINT (-0.922901763216955 51.398472793418)
RG30 1,RG30 1,RG30,RG30,RG,160,1.9356521020743,0.74735945479811,469793,174148.999,-0.99526,51.461519,POINT (-0.996777350776066 51.4620309200628)
RG30 2,RG30 2,RG30,RG30,RG,230,2.1279478486606,0.8216052576336,468965.001,173062.001,-1.00739,51.451847,POINT (-1.00890554217924 51.4523599306087)
RG30 3,RG30 3,RG30,RG30,RG,221,16.402640457852,6.3330948865725,468100,170023.5,-1.020422,51.424632,POINT (-1.02193553115012 51.4251475799189)
RG30 4,RG30 4,RG30,RG30,RG,252,2.9525514159214,1.1399864748948,467571.998,173092.002,-1.02743,51.452285,POINT (-1.02894383776747 51.4527973155995)
RG30 6,RG30 6,RG30,RG30,RG,113,1.6068523366314,0.62040915563235,468070.499,174400.002,-1.020005,51.463986,POINT (-1.02151946831518 51.4644969076317)
RG31 4,RG31 4,RG31,RG31,RG,98,1.5655156445335,0.60444896958634,465873.998,172456.504,-1.051984,51.446771,POINT (-1.05349498934784 51.4472837386066)
